Company,Salary,Date Posted,Title,Location,Job ID,Job Link,Job Type,Current date time (CST),Remote / Hybrid
Innova Solutions,$50.00 - $52.00 a Hourly,2024-02-09 T10:58:25Z,"Pega Business Analyst- Local to Newark , DE","Newark, DE 19713",4f361f7a02476df9,https://www.indeed.com/viewjob?jk=4f361f7a02476df9&from=vjs&tk=1hm7cskbnjktk800&viewtype=embedded&xkcb=SoBu67M3EHR9VD2YIh0GbzkdCdPP&continueUrl=%2Fjobs%3Fsc%3D0kf%253Ajt%2528contract%2529%253B%26q%3DData%2BAnalyst%26page%3D0,Contract,2024-02-09T10:58:25Z,Remote
Nepstaff,$70.00 - $75.00 a Hourly,2024-02-09 T10:58:25Z,Business Analyst,"Jackson, MS",e0904c14163599af,https://www.indeed.com/viewjob?jk=e0904c14163599af&from=vjs&tk=1hm7cskbnjktk800&viewtype=embedded&xkcb=SoDz67M3EHR9VD2YIh0FbzkdCdPP&continueUrl=%2Fjobs%3Fsc%3D0kf%253Ajt%2528contract%2529%253B%26q%3DData%2BAnalyst%26page%3D0,Contract,2024-02-09T10:58:25Z,Remote
Leadstack Inc,$40.00 - $50.00 a Hourly,2024-02-09 T10:58:25Z,Data Analyst,"Sunnyvale, CA 94086",131a8b1b111eff14,https://www.indeed.com/viewjob?jk=131a8b1b111eff14&from=vjs&tk=1hm7cskbnjktk800&viewtype=embedded&xkcb=SoBH67M3EHR9VD2YIh0EbzkdCdPP&continueUrl=%2Fjobs%3Fsc%3D0kf%253Ajt%2528contract%2529%253B%26q%3DData%2BAnalyst%26page%3D0,Contract,2024-02-09T10:58:25Z,Remote
Kforce,$25.00 - $30.00 a Hourly,2024-02-09 T10:58:25Z,Business Analyst Associate,"Miami, FL",181848f7f783c526,https://www.indeed.com/viewjob?jk=181848f7f783c526&from=vjs&tk=1hm7cskbnjktk800&viewtype=embedded&advn=253019782202538&adid=380630471&ad=-6NYlbfkN0C5IatSLh_Ak1q39eQQoPIxD737RW9NeiYGvIRXkrLjEBkC4LI6KweF8V4ozHZ8DEZrsr6ZIZlbKUjx7VDL7YS77HIrc8l7goIiiA2DHeP8fLJWVLNp4RtumMYgu8UhnusZieBdYiGEOTlUY1SpYzFix8-7wtNSf1DNty9zqLf6mj_vM5BAO49mzciDTSZro-E67R2zdRy3IXw8MtpLU_zYiweSwJQvtjBvMeRIGDK8EzU6rqNyp9CpQK0JY6keb_xjU5oXnpQldaAnaPdysaSED3aLaUumYgupTuYIkRQMrCDKwsmu60yu5jbCXET_oYZ3sEAuzhFcZ74jHEaCJMg-4_tZNhOwz_aB3E3K0Xv04K5KrQ4sWkQq9uklnmLqgo56u1LaCsIbwTk4-uyngnQxEOvqfwfYeFSzkTQzaI8aGkFK5QXgPo-C2b7JukBNCtctzqhd7YbtoXvd70rLK0qOQt1ZI3i6hXWIDb7RfhZf6uuQGG6q01WtltY3C4J_YzL9ZxC1risOKWfI9Qe6B8qEwE2_tivB3foUhYPAI44-aG7aIXZzidfbNqk-OOj1MuTQD6vH_d_Pvs-89S-fhegCQZbd9gyknPVJ4EDK07R44boSiJVd1Aak2DZ9ziDZSje5M3YeKiflMlCYCDOYExB1vQeEUU226mP6XN-CbXg7hifzwCr2o4gRn1l5L4W-7O4a-mVH4XGpKt00eFFMUMmis-PBnMfVzKdAV2amOwfw8w%3D%3D&xkcb=SoCU6_M3EHR9VD2YIh0bbzkdCdPP&continueUrl=%2Fjobs%3Fsc%3D0kf%253Ajt%2528contract%2529%253B%26q%3DData%2BAnalyst%26page%3D0,Contract,2024-02-09T10:58:25Z,Remote
Cook Systems,$45.00 - $50.00 a Hourly,2024-02-09 T10:58:30Z,Business Analyst,"Cordova, TN 38016",de242a3eb77f92fe,https://www.indeed.com/viewjob?jk=de242a3eb77f92fe&from=vjs&tk=1hm7csp85jgbr803&viewtype=embedded&advn=8565127566377506&adid=420240583&ad=-6NYlbfkN0Dol3qkho9q2Ldnd41IPtvwkHch_6Mm1925HXTPO4n7I6yNxfqViyu2r5ZuWt2_-AYQzK7eYw_WpZkItVMQbU1w7wFipqlPfKffUsPKKp1P1jbBFY1t67mRWBb9q0E2vd3AtGyg-IIHOwQ2xiJ8bcAdYsivg5rLtiW5a0hazAahWPbgBjbPhwoV4UigFdWp67f1S8UfgYxLq7ss77VTwRNcClH-nyn4wXmDLa57pefOSSinauVNH0cxAYRXXN_JzxdH8ZeO47qeR4SprmvjGecMvdb1E2Habq_UAuHJcHmRSBLPvmdQCzy0vz0Ya-zl76zlAB7YQoDcLCu3JAlTCzbckGxB6mHfnViavSofMZQr4foFkgbSmk8AigpiPoku1kC_tS_o3bjnXSfWupNHFW5odriExhDW2An_K3lrw2VKII71lY9anEkIjanATnU-bIQxuSKIonFonq6Jk9JL_BTZhe9fL9TLB_8qHKSIj2cqs_0to9yk2c1a2gSTlZSYlTyWbFgMkGsCeV7O2vdkEPl4gp1ldyHAK-e228gQWLDPVMKBXegiFrkhCo8M5u4P0sPdsw4jhlsACK_M0Y8HOPWD5GSnBnCrBjpRAyW7GSR6lcBOBkQtquL6l01PP4Pu8qQ%3D&xkcb=SoD66_M3EHR88JQSBJ0KbzkdCdPP&continueUrl=%2Fjobs%3Fsc%3D0kf%253Ajt%2528contract%2529%253B%26q%3DData%2BAnalyst%26page%3D10,Contract,2024-02-09T10:58:30Z,Remote
The Forum Group,$0.00 - $35.00 a Hourly,2024-02-09 T10:58:30Z,Data Analyst,"New York, NY",f315fba2d5c50f57,https://www.indeed.com/viewjob?jk=f315fba2d5c50f57&from=vjs&tk=1hm7csp85jgbr803&viewtype=embedded&advn=1870696524930358&adid=420245123&ad=-6NYlbfkN0AZW6raguTt8GHJNwffK-e9Yxe4teW1POkxz1ehGu-7QsGbLYyoXqVy4FCxh_BimK57y4uruzfgzEb7JutGovJWA_o9em91KDxWf506J6kWAvghxxI5eYxqJEEpnArK-k04MqSbRfKY7t_aHnQnKjfrccgq2rin-AmXRIE6ypJ9LqaK56Sx8rCSvr3rD2eEcT_S_3TUNMof_zImIeE2ouPki0TDXlfz34nyNTPeMFf92NuFrYlzGSsO-cifs376dQ1fnssaMosk7gRMVULmdRBsTBPKSoEhpzeUI_kEtE2VGHnK-TZD0FT-aWkVjTr2Bptsi6929KzanhvZAVQKm5YrP-GM9uhDL99GL9jPSmf6AKoSJX7Ztn8zeRoEiSpwUAJCZYKyhXQSS7DnIVPNHVSvYelqFFTo0cY3ziOjaqKBts263Jwuifl8_XgZuZ1NmghxsG9ubNEIQHAJ6uJk0Ar4JLX3ds5UjRfagFdDM0a-XxYlyn7rTPOv0BKJNDL_4kuaeuFTWzf4Sh_1SvijstJxaHmqxQxzdCJFnrptMebF0GYq_upTvnhH-sh2FjUqstKh3uxau1ySgONJ3B7TkmAspmYgel_qUH1Ql5l6JaAj8kJIrtjaDES6&xkcb=SoDT6_M3EHR88JQSBJ0IbzkdCdPP&continueUrl=%2Fjobs%3Fsc%3D0kf%253Ajt%2528contract%2529%253B%26q%3DData%2BAnalyst%26page%3D10,Contract,2024-02-09T10:58:30Z,Remote
ektello,$28.00 - $33.00 a Hourly,2024-02-09 T10:58:30Z,Supply Chain Data Analyst,"Ridgefield Park, NJ 07660",4d997ad5c8ef8a4b,https://www.indeed.com/viewjob?jk=4d997ad5c8ef8a4b&from=vjs&tk=1hm7csp85jgbr803&viewtype=embedded&advn=3502908708565417&adid=395769661&ad=-6NYlbfkN0CLjQmfy67UqlWxJvyH5uxFrQGBFL1cdeZdgq-fUlKTlikjnfIyJ3g14UIocJ4LupHHolquRbf9PLQpcLnFTBHbzWn-B4dD_JeQSW8MaA3eGldNCGUSwhd4OlytXJe6hsm3prkSmMmUYNJLnEp3puR1RKccg7fugyayvp5Hds6MG2DDnvuwTPgJmqNSZNmwk7AysgZW7lfLF9bM38kow3zFTmHpnBCSa_sBnH8r3CF8Ox7xWF0p1gtbj0ekciuArbQESHWX7PWJCOoum3uj7TvDO5jy-KsdQXInWnpUIW1kJSGRPBTZ1W7gXqqMEvZUIOmh_vxYzpfm1437916-3eTNFz5SRDBJn8_oUsC6Bb6y4-mW3-4YJIr2n0SgnZ6ZBUWNW6gGDeexCawgAtJ8s6zTLOooy78EadzDmgzeCez2P8Y_G8dkrQjx5sW64dF30z-ZX8NbFrCf91q6-vUJtZdl2GDn25El-7RHSZ_rOxQj_eMrYmU6LkvahS7ELUgzUBEIK4ypST_Xsmtfi9WbwL8RMbrDJ20DNXDzED2POsHeFwEnzDauKhRmF4xdZkjmcR6M-7e_jmulGqSWVi-V1TVZxzLU0cyrFEJDCrfrLwfqndIyHfwvRU5tTYhsdgayrE2NH_SkuAkeegWLhJH9CQt8zNQkOYC-KK9etd9V7G9T6f04eWaA8WyqfZdoQGJcX7QbR-kGfSMQ1fNwzNizuOR6uloHCHWaBkK703c2Ac_zYdTrsrLjDYue95cmFkarrRUYgouLvkE7DyhVwPeEEOB37v3kojd-Uhw%3D&xkcb=SoBd6_M3EHR88JQSBJ0PbzkdCdPP&continueUrl=%2Fjobs%3Fsc%3D0kf%253Ajt%2528contract%2529%253B%26q%3DData%2BAnalyst%26page%3D10,Contract,2024-02-09T10:58:30Z,Remote
Primary Talent Partners,$70.00 - $78.00 a Hourly,2024-02-09 T10:58:30Z,Supply Chain Data Analyst,"Houston, TX 77042",378c9e97f1f6251f,https://www.indeed.com/viewjob?jk=378c9e97f1f6251f&from=vjs&tk=1hm7csp85jgbr803&viewtype=embedded&advn=2017956363441820&adid=418886435&ad=-6NYlbfkN0DOCvLQenlXS7fh3AEEtPwhntZQnPW7UfiJ0vyM-Z38ZrwKnz1HfL1iRQygFt3CwR84C8g-apQzQzKk3nMkEAN8blzM3FHcEALQiJp0PpTnz6cOap5lLhrTt1XmA6_p5NQf8581Au1g-g33mBDjpbXD9eofj92xokSvE8gtbgm42hUDMf4jrfWhphMZ1aHrFVNY-4CPHzvi2236Zos6HFjCWN3W2es99yKQEmPmfL6UPMnDryTWzARBYEYGzkUdLfkgsAaiLXnJRMXLDJOaLcL_KAdXrEMvOxWKZcat3ffw7_sRFqWn0NDw2lHBuM53RIX5PcC8RQxg6-M_waUXPNmNh_R8ESGAbXf6r7KmmOYrfP6zyvyttUYvbk-W53BhWTcbtxmnN3mxh5DQPNRZBZhDQSIcQpYQoYaAQT78zFLi6JYoPyZDfQ4KKNiJXw8b03YyeHF6IZP3WfihXqSAfFAW3-WMnkmFyR-J6ak2M1d-XvMyNZwOLPAijk0QpHrAxxiaHP1ixSovTvglgXesMqeKnpBEr_FN5q5QkHLd5lQZD7tTDt3wDxyFVkmnglrSPRpVxBbC_QTV96ASMehI6g9OIi0c_zW97mMQj4zetLXRI16T9cK7a-v8vMkJ5nBBZTSsPxxUToTDsC6oYMyrUdlApK_EndLGht8HA4rs3yBXcSdS5nVnGU1JSrKUvL9DJ2Z91gkMxMmBv-IKSXCKsWsXL7y__Vt-UGk2RytzAATnpSj5s1x0tF0_1cZCBDVbttTYqJqkz8gX-tookzXM2_WOHM6KlIjr0HiDfARbliCVB4KFqPI45wx3qra1BlysCDj2nbdGpOlO1uDSh7rdalH4bc1YFC_lPVSOxDsFTtvYPi9lc9Ioz6FNc2JIkpaOGaKQ9l-5NhY9teLspzsPdGCy4VVuqnZyyAEpk86-GRLr4WNUmkBZsm9xVJIP2bO_ZcGgpHW7tsnPXxrnpy2We1mz3szcfkWYa6KwlUW5-4UNle3eypo1XFQhduDW4gIOEI34T1ZCtlopLj_uiieseGgyaVEs0CRfPTvlxKDdVKzt7JlxBPBRqtGdZ1qwIuTGHJqRITo0XB1b5HT5t1MmF5PlYAS8mWkxsGP1OeoYIQf3EGQAOWnidXFzjqD_jJofpRY%3D&xkcb=SoDA6_M3EHR88JQSBJ0MbzkdCdPP&continueUrl=%2Fjobs%3Fsc%3D0kf%253Ajt%2528contract%2529%253B%26q%3DData%2BAnalyst%26page%3D10,Contract,2024-02-09T10:58:30Z,Remote
Kforce,$55.00 - $70.00 a Hourly,2024-02-09 T10:58:30Z,Business Analyst,"Jacksonville, FL 32202",d551cb9de64baf55,https://www.indeed.com/viewjob?jk=d551cb9de64baf55&from=vjs&tk=1hm7csp85jgbr803&viewtype=embedded&advn=253019782202538&adid=380630471&ad=-6NYlbfkN0C5IatSLh_Ak1q39eQQoPIxD737RW9NeiYGvIRXkrLjEBkC4LI6KweF8V4ozHZ8DEaY0tCBUUFgiI1A3jcjWs4evT2xXfgjCgoiLkaN5SGcEWEQ-HWbc5VLjfkvdihi-OaTYNcLRnwyndI0FZaIlpyG3QOKnk0-EXCX4hBOG2LnOMoOuGb_M8SJvWeSOqV9mxVw0PxP0QZ8MgagYyBsW8Ixtm9a1EiAiMlCRkoZzLmq_NXRpLS25VqothOetKALmnZxo9wtQLGmD-CA2vy8d3SwYgdtDhSajmtaigEirCoWMyJ78kvlrb1hcX-uVSnreBdQZCMA1pj6pNU_vxS2mhO3H45sBYI7nDFRSIhA07UueHZLqIEg4EEIL51uIVI0AGHiu8_WL33bSMtrw39uwPepfCAMolcyOXdc6Ii8pOyUxr6s08oMNFYKhsFzReqxf3e1TYbSGlApnzK_kkn-gFalwVrl4XAcblE4k4B-ZryA0XQxPU4Xjztgu3VhAHKrBP23Hqs-otBurs58VStihjrDtx-Hn7qRgo_j9LclW78nHHpGj1zbIvQ8sXUCDlQLvy1vgS3DbWmtRTpTJGp7OXN553xsaL3PhBGuC5mXcnvmt0T4YBUiebq42bcMAWQn_9418g9Yy4G3MYsLqR8SS39bY73Z6ejP0Tm_7w_kkReFTwoQxY7gGdyXGlMhK_1VyCwDyv7zW7ZxWlfcH2ZSdFH6SjRSogtFlcc%3D&xkcb=SoAp6_M3EHR88JQSBJ0DbzkdCdPP&continueUrl=%2Fjobs%3Fsc%3D0kf%253Ajt%2528contract%2529%253B%26q%3DData%2BAnalyst%26page%3D10,Contract,2024-02-09T10:58:30Z,Remote
Cenergy International,$30.00 - $40.00 a Hourly,2024-02-09 T10:58:30Z,Laboratory Analyst,"Pasadena, TX",f5c0b009834f0991,https://www.indeed.com/viewjob?jk=f5c0b009834f0991&from=vjs&tk=1hm7csp85jgbr803&viewtype=embedded&advn=199561638269118&adid=411753429&ad=-6NYlbfkN0ATmQl8QC8MsPSUYtg6QcSsrNiCenr3UAJ1SEX3NO47gUKowLB905MKrRfS9l95pU9Qf1kaWbVbViCLqBFLcXabxily7EPpZRdiAa-dU7sWqfLdxUi4FZBFdLaoOE6IRq8n5_dalICSNh9wZFyXe7DBzyrtQrkqwA_e3_vH_rUFSrToW2wVzstbN-9kT61mC-hRlg0EUB9g9BGHfZ39Tri4x8TUIBQ55yzekl5guvp-6FoeIwGIA04JsV3iRIsnKcE6UwowI8EX3wuWE4hyMRMb6JKjSKKX99Ql7b-vq_2owXh4Eip7wvOsP_AnQye0PesCUounS8--BAlKZh_E7JNsXkc434LGMF7jtV-kKmtcNuZAcvUWomTvHraBw_Aj78HMGnetH6mtMqw_iUXV0p0D95-KeJNhciJtz0NyH25k7vewNuIPNSqT_XyoUA7XZ9DatkYO8zyJb9mzHwXgruTWGSit032vq2FA-VNqEGiGkfIydZU0e70OPGk8_YdYzIjGu-af9eJSM5axUZjPNDSflm6oLXFFvu_pQqhFhzXMMLEvnTtSv4w2aGyUHluhrhgqCZse7F_as62Y8k1WdJ5pvetaSL4vkpjwYcSPWrqf9Bx5Wnd3uyL3Sd4yr1tOQ9AIh0uOaKEy8Q%3D%3D&xkcb=SoAT6_M3EHR88JQSBJ0FbzkdCdPP&continueUrl=%2Fjobs%3Fsc%3D0kf%253Ajt%2528contract%2529%253B%26q%3DData%2BAnalyst%26page%3D10,Contract,2024-02-09T10:58:30Z,Remote
Express Employment Professionals,$0.00 - $33.00 a Hourly,2024-02-09 T10:58:35Z,Data Analyst,"Athens, TX",219102eb328492f0,https://www.indeed.com/viewjob?jk=219102eb328492f0&from=vjs&tk=1hm7csu8th0m3807&viewtype=embedded&advn=9424666732615476&adid=420242513&ad=-6NYlbfkN0DA9V7hTUFBam5a2PdHLQmb6ZnaP1x6h5xdwf0EJl5u7Y05SBg5PTO7JojMXatLIAq506hu9bYtSHduN5tKsfS1xuGhueqCH5wojouK5KW33suJUYcv70wJ_gprheBNwRLDNGsniscqMhMaZ9n4DSeihMvLPIy8JK6i0SRVPRiKdbR-o44y3m7epSyubpCAS8HFVMnvXf2Wo3-VcmeUBZNYFYL5ha_35lvgCVWxRtrCJaR9nKIJy7g9HuEXOV78PQzvCfFDXYK4wLsTmpzRhKINR53VgOOgHUxgTT5wrGtQWp4JwFZ7jo2k5Js1nyMmc371gDY4SU-diFn-DQrVhZEtX6t7_HVOnXAxtGh3BL8PAArcMh0vBYYOHagBnmIbVWF0BbkQrJ8cupmvMsk-20i2Bj5vWdulPAwO_1NL6hts6rl6cb5YANLBwlACKeXB3---z9HB4fl3hXfISl3Y-7UNgJcIjvKThzVVrplCXs5ipNEDgR20DaS26N-MLNjGsb_1ICWyOBpjyoKRMT6osREn5cnEoOrgOAKkFMPgRepssAJzxSQMmldNzvXceXuy5EPZII8E2Ok-gLs6GJ4xbKHLprLvABbq4QzJxGv1JBqQ6a-Gi8k322SE&xkcb=SoCB6_M3EHR8FwTs6J0JbzkdCdPP&continueUrl=%2Fjobs%3Fsc%3D0kf%253Ajt%2528contract%2529%253B%26q%3DData%2BAnalyst%26page%3D20,Contract,2024-02-09T10:58:35Z,Remote
Wells Fargo,,2024-02-09 T10:58:35Z,Data Management Analyst (contract),"Charlotte, NC",4497cc68f3351b47,https://www.indeed.com/viewjob?jk=4497cc68f3351b47&from=vjs&tk=1hm7csu8th0m3807&viewtype=embedded&xkcb=SoBm67M3EHR8FwTs6J0NbzkdCdPP&continueUrl=%2Fjobs%3Fsc%3D0kf%253Ajt%2528contract%2529%253B%26q%3DData%2BAnalyst%26page%3D20,Contract,2024-02-09T10:58:35Z,Remote
Realign LLC,"$33,839.81 - $42,848.74 a Yearly",2024-02-09 T10:58:35Z,Help Desk Analyst,"Dauphin County, PA",c5fe02b73ad6261d,https://www.indeed.com/viewjob?jk=c5fe02b73ad6261d&from=vjs&tk=1hm7csu8th0m3807&viewtype=embedded&xkcb=SoDS67M3EHR8FwTs6J0MbzkdCdPP&continueUrl=%2Fjobs%3Fsc%3D0kf%253Ajt%2528contract%2529%253B%26q%3DData%2BAnalyst%26page%3D20,Contract,2024-02-09T10:58:35Z,Remote
