Title,City,Salary,EmploymentType,JobURL,Company,Posted_date,RemoteStatus,JobID,Current date time (CST)
Data Analyst (Research Analyst),Lake Bluff,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Infinite-Computing-Systems/Job/Data-Analyst-(Research-Analyst)/-in-Lake-Bluff,IL?jid=9d9f4742a7f4854b",Infinite Computing Systems,2020-11-05T08:00:00Z,,9d9f4742a7f4854b,2024-02-06T10:31:34Z
BI Analyst,Frisco,$0 / ,Contractor,"https://www.ziprecruiter.com/c/eTeam-Inc/Job/BI-Analyst/-in-Frisco,TX?jid=63189165ecf78b5e",eTeam Inc,2022-06-08T07:00:00Z,,63189165ecf78b5e,2024-02-06T10:31:34Z
Data Analyst,Hillsboro,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Procom-Consultants-Group/Job/Data-Analyst/-in-Hillsboro,OR?jid=b85d880ea198c648",Procom Consultants Group,2016-01-29T08:00:00Z,,b85d880ea198c648,2024-02-06T10:31:34Z
Data Analyst,Salem,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Stem-Xpert/Job/Data-Analyst/-in-Salem,OR?jid=69b7e02b86badaa3",Stem Xpert,2014-11-21T08:00:00Z,,69b7e02b86badaa3,2024-02-06T10:31:34Z
Data Analyst (Generic),San Jose,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Zealogics.com/Job/Data-Analyst-(Generic)/-in-San-Jose,CA?jid=4ba1f99cab4a2a39",Zealogics.com,2024-01-30T21:11:23Z,,4ba1f99cab4a2a39,2024-02-06T10:31:34Z
Data Analyst with Power BI Report,Redmond,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Scout-ET/Job/Data-Analyst-with-Power-BI-Report/-in-Redmond,WA?jid=7a97b3a610570e4f",Scout ET,2016-09-08T07:00:00Z,,7a97b3a610570e4f,2024-02-06T10:31:34Z
Data Analyst,Santa Ana,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Collabera/Job/Data-Analyst/-in-Santa-Ana,CA?jid=b1bf6a813ccbf74a",Collabera,2015-04-03T07:00:00Z,,b1bf6a813ccbf74a,2024-02-06T10:31:34Z
Marketing Business Analyst (Project Manager),Bellevue,$76.58 - $79.22 / hr,Contractor,"https://www.ziprecruiter.com/c/Intelliswift-Software-Inc/Job/Marketing-Business-Analyst-(Project-Manager)/-in-Bellevue,WA?jid=3b1860319896897c",Intelliswift Software Inc,2024-01-18T04:23:48Z,,3b1860319896897c,2024-02-06T10:31:34Z
"Compliance Reporting Data Analyst - Smartsheets, Tableau",Beaverton,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Genoa-Employment-Solutions-Inc/Job/Compliance-Reporting-Data-Analyst-Smartsheets,-Tableau/-in-Beaverton,OR?jid=f71ec2dacc999989",Genoa Employment Solutions Inc,2022-11-29T09:58:53Z,,f71ec2dacc999989,2024-02-06T10:31:34Z
Data Analyst with Power BI,Redmond,$0 / ,Contractor,"https://www.ziprecruiter.com/c/EA-Team-Inc./Job/Data-Analyst-with-Power-BI/-in-Redmond,WA?jid=f6d66dea23b7b736",EA Team Inc.,2019-02-27T08:00:00Z,,f6d66dea23b7b736,2024-02-06T10:31:34Z
